飞行实验日记
任务：开启遥控器，测试our_mission() ; our_landing();
设定值：DY_Parame.set.auto_take_off_height = 100; our_delay_times[0] = 18000 
现象：one_one_key_takeoff();任务成功，原因将dy_height = 30;取消注释，飞机迅速上升至1.2m，产生超调，缓慢稳定在1m左右。 
后续进入our_mission(); 响应正常，飞机上下移动，3分钟(180s)后降落。飞机在较高高度时不稳定，推测原因是光流模块在高度较高时判断不准确。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
33 62 73 0 0 0
0 0 0 0 141 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 142 0
0 0 0 0 141 0
0 0 0 0 142 0
0 0 0 0 140 0
0 0 0 0 144 0
0 0 0 0 135 0
0 0 0 0 142 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 140 0
0 0 0 0 141 0
0 0 0 0 137 0
0 0 0 0 138 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 140 0
0 0 0 0 138 0
0 0 0 0 142 0
0 0 0 0 138 0
0 0 0 0 139 0
0 0 0 0 142 0
0 0 0 0 140 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 140 0
0 0 0 0 141 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 140 0
0 0 0 0 141 0
0 0 0 0 138 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 143 0
0 0 0 0 142 0
1 0 0 241 142 0
1 0 0 235 138 0
1 0 0 229 136 0
1 0 0 223 141 0
1 0 0 217 139 0
1 0 0 211 139 0
1 1 2 0 140 0
1 1 2 0 140 0
1 1 2 0 138 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 137 0
1 1 2 0 138 0
1 1 2 0 139 0
1 1 2 0 140 0
1 1 2 0 142 0
1 1 2 0 138 0
1 1 2 0 139 0
1 1 2 0 142 0
1 1 2 0 138 0
1 1 2 0 142 0
1 1 2 0 139 0
1 1 2 0 142 0
1 1 2 0 141 0
1 1 2 0 144 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 143 0
1 1 2 0 141 0
1 1 2 0 144 0
1 1 2 0 145 0
1 1 2 0 150 0
1 1 2 0 154 0
1 1 2 0 167 0
1 1 2 0 204 0
1 1 2 0 257 0
1 1 2 0 312 0
1 1 2 0 376 0
1 1 2 0 453 0
1 1 2 0 508 0
1 1 2 0 569 0
1 1 2 0 656 0
1 1 2 0 725 0
1 1 2 0 812 0
1 1 2 0 891 0
1 1 2 0 962 0
1 1 2 0 1054 0
1 1 2 0 1137 0
1 1 2 0 1239 0
1 1 2 0 1277 0
1 1 2 0 1267 0
1 1 2 0 1208 0
1 1 2 0 1137 0
1 1 2 0 1114 0
1 1 2 0 1095 0
1 1 2 0 1068 0
1 1 2 0 1060 0
1 1 2 0 1059 0
1 1 2 0 1055 0
1 1 2 0 1043 0
1 1 2 0 1078 0
1 1 2 0 1102 0
1 1 2 0 1079 0
1 1 2 0 1078 0
1 1 2 0 1069 0
1 1 2 0 1073 0
1 1 2 0 1074 0
1 1 2 0 1060 0
1 1 2 0 1074 0
1 1 2 0 1064 0
1 1 2 0 1117 0
1 1 2 0 1094 0
1 1 2 0 1110 0
1 1 2 0 1111 0
1 1 2 0 1107 0
1 1 2 0 1113 0
1 1 2 0 1121 0
1 1 2 0 1116 0
1 1 2 0 1112 0
1 1 2 0 1084 0
1 1 2 0 1106 0
1 1 2 0 1105 0
1 1 2 0 1105 0
1 1 2 0 1091 0
1 1 2 0 1078 0
1 1 2 0 1083 0
1 1 2 0 1076 0
1 1 2 0 1061 0
1 1 2 0 1077 0
1 1 2 0 1056 0
1 1 2 0 1072 0
1 1 2 0 1060 0
