飞行实验日记
任务：关闭遥控器，测试our_mission_updown_repeat() ; our_landing();
设定值：DY_Parame.set.auto_take_off_height = 90; our_delay_times[0] = 12000 
现象：one_one_key_takeoff();任务成功，飞机起飞过程中飘逸严重。 飞机迅速上升至1.3m，产生超调，然后缓慢稳定在1m左右。 
50s后续进入our_mission(); 响应正常，飞机上下移动，2分钟(120s)后降落。飞机在较高高度时不稳定，推测原因是光流模块在高度较高时判断不准确。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
0 0 0 0 142 0
0 0 0 0 138 0
0 0 0 0 139 0
0 0 0 0 143 0
0 0 0 0 139 0
0 0 0 0 142 0
0 0 0 0 143 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 142 0
0 0 0 0 139 0
0 0 0 0 145 0
0 0 0 0 142 0
0 0 0 0 140 0
0 0 0 0 141 0
0 0 0 0 144 0
0 0 0 0 142 0
0 0 0 0 139 0
0 0 0 0 140 0
0 0 0 0 138 0
0 0 0 0 140 0
0 0 0 0 138 0
0 0 0 0 143 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 142 0
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 138 0
0 0 0 0 142 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 137 0
0 0 0 0 138 0
0 0 0 0 139 0
1 0 0 241 142 0
1 0 0 235 137 0
1 0 0 229 141 0
1 0 0 223 141 0
1 0 0 217 139 0
1 0 0 211 137 0
1 1 2 0 139 0
1 1 2 0 140 0
1 1 2 0 139 0
1 1 2 0 138 0
1 1 2 0 139 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 138 0
1 1 2 0 140 0
1 1 2 0 138 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 140 0
1 1 2 0 143 0
1 1 2 0 142 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 142 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 140 0
1 1 2 0 140 0
1 1 2 0 143 0
1 1 2 0 144 0
1 1 2 0 146 0
1 1 2 0 154 0
1 1 2 0 165 0
