飞行实验日记
1.任务：关闭遥控器，测试our_mission_updown_repeat() ; our_landing();
2.设定值：DY_Parame.set.auto_take_off_height = 90; our_delay_times[0] = 12000 
3.现象：one_one_key_takeoff();任务成功，飞机迅速上升至1.3m，产生超调，缓慢稳定在1m左右。 
50s后续进入our_mission(); 响应正常，飞机上下移动，2分钟(120s)后降落。飞机在较高高度时不稳定，抖振严重，推测原因是光流模块在高度较高时判断不准确。
飞机高于1.5m时非常不稳定。
4.issue： 飞机起飞过程漂移，推测原因是飞机负载不均，前重后轻；或者飞机M3 M4因为其他原因转速大于M1 M3。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
0 0 0 0 140 0
0 0 0 0 142 0
0 0 0 0 142 0
0 0 0 0 140 0
0 0 0 0 138 0
0 0 0 0 141 0
0 0 0 0 143 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 141 0
1 0 0 241 140 0
1 0 0 235 141 0
1 0 0 229 141 0
1 0 0 223 140 0
1 0 0 217 142 0
1 0 0 211 140 0
1 1 2 0 144 0
1 1 2 0 144 0
1 1 2 0 139 0
1 1 2 0 139 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 140 0
1 1 2 0 142 0
1 1 2 0 139 0
1 1 2 0 142 0
1 1 2 0 144 0
1 1 2 0 141 0
1 1 2 0 142 0
1 1 2 0 143 0
1 1 2 0 144 0
1 1 2 0 138 0
1 1 2 0 143 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 143 0
1 1 2 0 141 0
1 1 2 0 140 0
1 1 2 0 139 0
1 1 2 0 142 0
1 1 2 0 142 0
1 1 2 0 141 0
1 1 2 0 137 0
1 1 2 0 142 0
1 1 2 0 146 0
1 1 2 0 154 0
1 1 2 0 161 0
1 1 2 0 176 0
1 1 2 0 212 0
1 1 2 0 260 0
1 1 2 0 313 0
1 1 2 0 418 0
1 1 2 0 482 0
1 1 2 0 542 0
1 1 2 0 606 0
1 1 2 0 681 0
1 1 2 0 758 0
1 1 2 0 859 0
1 1 2 0 961 0
1 1 2 0 1050 0
1 1 2 0 1128 0
1 1 2 0 1221 0
1 1 2 0 1289 0
1 1 2 0 1287 0
1 1 2 0 1268 0
1 1 2 0 1204 0
1 1 2 0 1202 0
1 1 2 0 1163 0
1 1 2 0 1104 0
1 1 2 0 1091 0
1 1 2 0 1075 0
1 1 2 0 1077 0
1 1 2 0 1059 0
1 1 2 0 1043 0
1 1 2 0 1029 0
1 1 2 0 1014 0
1 1 2 0 1010 0
1 1 2 0 1018 0
1 1 2 0 1027 0
1 1 2 0 1034 0
1 1 2 0 1072 0
1 1 2 0 1072 0
1 1 2 0 1051 0
1 1 2 0 1067 0
1 1 2 0 1082 0
1 1 2 0 1082 0
1 1 2 0 1094 0
1 1 2 0 1092 0
1 1 2 0 1095 0
1 1 2 0 1127 0
1 1 2 0 1119 0
1 1 2 0 1142 0
1 1 2 0 1128 0
1 1 2 0 1118 0
1 1 2 0 1126 0
1 1 2 0 1112 0
1 1 2 0 1107 0
1 1 2 0 1135 0
1 1 2 0 1090 0
1 1 2 0 1077 0
1 1 2 0 1069 0
1 1 2 0 1075 0
1 1 2 0 1053 0
