飞行实验日记
1.任务：关闭遥控器，测试our_take_off(); our_mission_height_control(); our_landing();
2.设定值：DY_Parame.set.auto_take_off_height = 90; our_delay_times[0] = 18000 
3.现象： 飞机起飞成功，our_mission_height_control();测试成功，但反馈量与设定量之间有10cm余差，推测是因为返回的数据是tof测得，反馈的数据是fus融合数据导致的。
4.issue： 飞行高度变换很快，建议改小PID.Kp值；延迟时间有误，原因未知。

flag.fly_ready || flag.taking_off || flag.auto_take_off_land || one_key_taof_start || tof_height_mm || auto_taking_off_sp
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 142 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 138 0
0 0 0 0 141 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 137 0
0 0 0 0 137 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 142 0
0 0 0 0 141 0
0 0 0 0 141 0
0 0 0 0 138 0
0 0 0 0 139 0
0 0 0 0 140 0
0 0 0 0 140 0
0 0 0 0 139 0
0 0 0 0 144 0
0 0 0 0 141 0
0 0 0 0 143 0
0 0 0 0 142 0
0 0 0 0 139 0
0 0 0 0 139 0
0 0 0 0 136 0
0 0 0 0 141 0
0 0 0 0 138 0
0 0 0 0 138 0
0 0 0 0 140 0
0 0 0 0 142 0
0 0 0 0 139 0
0 0 0 0 141 0
0 0 0 0 141 0
1 0 0 241 139 0
1 0 0 235 138 0
1 0 0 229 141 0
1 0 0 223 140 0
1 0 0 217 139 0
1 0 0 211 139 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 139 0
1 1 2 0 141 0
1 1 2 0 137 0
1 1 2 0 139 0
1 1 2 0 141 0
1 1 2 0 137 0
1 1 2 0 141 0
1 1 2 0 138 0
1 1 2 0 139 0
1 1 2 0 139 0
1 1 2 0 140 0
1 1 2 0 138 0
1 1 2 0 141 0
1 1 2 0 138 0
1 1 2 0 138 0
1 1 2 0 138 0
1 1 2 0 136 0
1 1 2 0 142 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 142 0
1 1 2 0 139 0
1 1 2 0 137 0
1 1 2 0 140 0
1 1 2 0 141 0
1 1 2 0 141 0
1 1 2 0 143 0
1 1 2 0 151 0
1 1 2 0 156 0
1 1 2 0 172 0
1 1 2 0 203 0
1 1 2 0 247 0
1 1 2 0 295 0
1 1 2 0 355 0
1 1 2 0 454 0
1 1 2 0 535 0
1 1 2 0 600 0
1 1 2 0 651 0
1 1 2 0 719 0
1 1 2 0 808 0
1 1 2 0 897 0
1 1 2 0 983 0
1 1 2 0 1118 0
1 1 2 0 1177 0
1 1 2 0 1259 0
1 1 2 0 1254 0
1 1 2 0 1286 0
1 1 2 0 1221 0
1 1 2 0 1201 0
1 1 2 0 1173 0
1 1 2 0 1147 0
1 1 2 0 1120 0
1 1 2 0 1128 0
1 1 2 0 1135 0
1 1 2 0 1128 0
1 1 2 0 1110 0
1 1 2 0 1142 0
1 1 2 0 1119 0
1 1 2 0 1129 0
1 1 2 0 1120 0
1 1 2 0 1113 0
1 1 2 0 1100 0
1 1 2 0 1102 0
1 1 2 0 1069 0
1 1 2 0 1078 0
1 1 2 0 1063 0
1 1 2 0 1054 0
1 1 2 0 1064 0
1 1 2 0 1032 0
1 1 2 0 1056 0
1 1 2 0 1008 0
1 1 2 0 1009 0
1 1 2 0 1020 0
1 1 2 0 994 0
1 1 2 0 984 0
1 1 2 0 983 0
